video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,0,0.0,8.02,8.02,https://youtu.be/-pjWKo7zgrs?t=0s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,"Finished candle teaser; 'Boowannite' jesmonite jars. intro phase, ~0% in, 0:00–0:08.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,1,8.02,16.03,8.01,https://youtu.be/-pjWKo7zgrs?t=8s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,"Finished candle teaser; 'Boowannite' jesmonite jars. intro phase, ~2% in, 0:08–0:16.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,2,16.03,24.05,8.02,https://youtu.be/-pjWKo7zgrs?t=16s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,"Finished candle teaser; 'Boowannite' jesmonite jars. intro phase, ~3% in, 0:16–0:24.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,3,24.05,32.07,8.02,https://youtu.be/-pjWKo7zgrs?t=24s,intro_titlecard,intro,0,0.4,Finished candle teaser; 'Boowannite' jesmonite jars.,"Finished candle teaser; 'Boowannite' jesmonite jars. intro phase, ~5% in, 0:24–0:32.",,0,,,,,,,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,4,32.07,40.08,8.01,https://youtu.be/-pjWKo7zgrs?t=32s,intro_titlecard,intro,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'pee oS ea Bre, oP La 4 VL Hae be mEntped 8Qus ree erhonite AC10Gs'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'pee oS ea Bre, oP La 4 VL Hae be mEntped 8Qus ree erhonite AC10Gs'. intro phase, ~7% in, 0:32–0:40.",,0,,,,,,,1,,
0ERh-nj5jjw,https://www.youtube.com/watch?v=0ERh-nj5jjw,how to measure candle wax for the perfect candle pour ⚖️,117.0,storyboard,0,0.0,7.8,7.8,https://youtu.be/0ERh-nj5jjw?t=0s,intro_titlecard,intro,0,0.45,Host opens in a bright studio with candle shelves.,"Host opens in a bright studio with candle shelves. intro phase, ~0% in, 0:00–0:07.",,0,,,,,,,1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,6,48.12,56.14,8.02,https://youtu.be/0gk3NsmJa7k?t=48s,intro_titlecard,intro,0,0.5,"On-screen text card (auto-detected: static frame, OCR text). Text reads: 'oe vin 4 hy eo, ae veh SRS oo 7 ot'.","On-screen text card (auto-detected: static frame, OCR text). Text reads: 'oe vin 4 hy eo, ae veh SRS oo 7 ot'. intro phase, ~6% in, 0:48–0:56.",,0,,,,,,,1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,0,0.0,7.97,7.97,https://youtu.be/0tS8V3Gj9C0?t=0s,intro_titlecard,intro,0,0.4,Vlog intro card.,"Vlog intro card. Opening title card, channel branding, or host introducing the project to camera before any hands-on work. intro phase, ~0% in, 0:00–0:07.",,0,,,,,,,1,,
1-44rrfu7kc,https://www.youtube.com/watch?v=1-44rrfu7kc,Satisfying Candle Making Process |DIY Christmas Candle 🎄| Learn Candle Making at Home,162.0,storyboard,0,0.0,8.1,8.1,https://youtu.be/1-44rrfu7kc?t=0s,intro_titlecard,intro,0,0.45,Pink 'Welcome to my channel' intro cards.,"Pink 'Welcome to my channel' intro cards. intro phase, ~0% in, 0:00–0:08.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,0,0.0,7.94,7.94,https://youtu.be/1V3hfxo7OtE?t=0s,intro_titlecard,intro,0,0.55,"opening, two hosts","opening, two hosts. Opening title card, channel branding, or host introducing the project to camera before any hands-on work. intro phase, ~0% in, 0:00–0:07.",,0,,,,,,,1,,
