video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,7,57.17,65.33,8.16,https://youtu.be/2nxGLwe1Znk?t=57s,monitor_temperature,process,1,0.5,Stirring melted wax; checking temperature.,"Stirring melted wax; checking temperature. process phase, ~39% in, 0:57–1:05.",,0,,,,,,,1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,20,160.95,169.0,8.05,https://youtu.be/B2AFuHYg_Io?t=161s,monitor_temperature,process,1,0.5,Phone thermometer; pink glove stirs the pot.,"Phone thermometer; pink glove stirs the pot. process phase, ~32% in, 2:40–2:49.",,0,,,,,,,1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,42,337.52,345.55,8.03,https://youtu.be/EBZGgxpf3Ho?t=338s,monitor_temperature,process,1,0.5,Checking wax temperature (phone app).,"Checking wax temperature (phone app). process phase, ~51% in, 5:37–5:45.",,0,,,,,,,1,,
G42ivbBdIHY,https://www.youtube.com/watch?v=G42ivbBdIHY,Essential Oil Candles DIY For Beginners | Step By Step Candle Making Tutorial,693.0,storyboard,62,493.86,501.83,7.97,https://youtu.be/G42ivbBdIHY?t=494s,monitor_temperature,process,1,0.45,Checking the wax temperature with a thermometer.,"Checking the wax temperature with a thermometer. process phase, ~71% in, 8:13–8:21.",,0,,,,,,,1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,8,63.53,71.47,7.94,https://youtu.be/GAh9lQmaEvI?t=64s,monitor_temperature,process,1,0.7,step 8: 'Test the temperature of the wax',"step 8: 'Test the temperature of the wax'. process phase, ~47% in, 1:03–1:11.",,0,,,,,,,1,,
Hir66vEC2MI,https://www.youtube.com/watch?v=Hir66vEC2MI,Learn How to Make Scented Soy Wax Candles for Beginners | CandleScience Guides,323.0,storyboard,25,201.87,209.95,8.08,https://youtu.be/Hir66vEC2MI?t=202s,monitor_temperature,process,1,0.65,"thermometer in wax, 'Pour at 135F' caption","thermometer in wax, 'Pour at 135F' caption. process phase, ~62% in, 3:21–3:29.",,0,,,,,,,1,,
Lg_fGA7jd4A,https://www.youtube.com/watch?v=Lg_fGA7jd4A,How to Make Whipped Wax?✨｜Candle Tutorial♥ Candle Making with English Subtitles,199.0,storyboard,6,47.76,55.72,7.96,https://youtu.be/Lg_fGA7jd4A?t=48s,monitor_temperature,process,1,0.45,Temperature probed again in the wax.,"Temperature probed again in the wax. process phase, ~24% in, 0:47–0:55.",,0,,,,,,,1,,
LiLrIjz_2ac,https://www.youtube.com/watch?v=LiLrIjz_2ac,Beginners Guide - How to Make a Scented Candle at Home,211.0,storyboard,11,89.27,97.38,8.11,https://youtu.be/LiLrIjz_2ac?t=89s,monitor_temperature,process,1,0.55,A thermometer checks the wax temperature in the pot.,"A thermometer checks the wax temperature in the pot. process phase, ~42% in, 1:29–1:37.",,0,,,,,,,1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,23,182.08,190.0,7.92,https://youtu.be/N1izApjGj2c?t=182s,monitor_temperature,process,1,0.55,A thermometer is placed in the melted wax.,"A thermometer is placed in the melted wax. process phase, ~64% in, 3:02–3:10.",,0,,,,,,,1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,24,190.0,197.92,7.92,https://youtu.be/N1izApjGj2c?t=190s,monitor_temperature,process,1,0.6,Thermometer reads ~190°F in the pan; caption with the fragrance-load formula.,"Thermometer reads ~190°F in the pan; caption with the fragrance-load formula. process phase, ~67% in, 3:10–3:17.",,0,,,,,,,1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,25,197.92,205.83,7.91,https://youtu.be/N1izApjGj2c?t=198s,monitor_temperature,process,1,0.6,Thermometer reads ~185°F; hands at the pan.,"Thermometer reads ~185°F; hands at the pan. process phase, ~69% in, 3:17–3:25.",,0,,,,,,,1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,26,205.83,213.75,7.92,https://youtu.be/N1izApjGj2c?t=206s,monitor_temperature,process,1,0.55,Hands stir fragrance into the melted wax.,"Hands stir fragrance into the melted wax. process phase, ~72% in, 3:25–3:33.",,0,,,,,,,1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,27,213.75,221.67,7.92,https://youtu.be/N1izApjGj2c?t=214s,monitor_temperature,process,1,0.55,Metal pouring pitcher; thermometer ~170°F before pouring.,"Metal pouring pitcher; thermometer ~170°F before pouring. process phase, ~75% in, 3:33–3:41. Terminology: double boiler.",,0,,,,,,,1,,
Vsd8r7uSDII,https://www.youtube.com/watch?v=Vsd8r7uSDII,How To Make A Wooden Wick Candle | Luxury Candle Making,288.0,storyboard,21,168.0,176.0,8.0,https://youtu.be/Vsd8r7uSDII?t=168s,monitor_temperature,process,1,0.45,Checking the amber wax before pouring.,"Checking the amber wax before pouring. process phase, ~58% in, 2:48–2:56.",,0,,,,,,,1,,
ZQk9l2ttcIA,https://www.youtube.com/watch?v=ZQk9l2ttcIA,A Beginners Guide To Making A Candle,256.0,storyboard,15,120.0,128.0,8.0,https://youtu.be/ZQk9l2ttcIA?t=120s,monitor_temperature,process,1,0.4,"pot of amber liquid, checking","pot of amber liquid, checking. process phase, ~47% in, 2:00–2:08.",,0,,,,,,,1,,
a9IOU3fbWx0,https://www.youtube.com/watch?v=a9IOU3fbWx0,How to Make Simple Paraffin Candles | Candle Making Guides | CandleScience,221.0,storyboard,11,86.82,94.71,7.89,https://youtu.be/a9IOU3fbWx0?t=87s,monitor_temperature,process,1,0.5,A thermometer/stick is inserted into the melting pot.,"A thermometer/stick is inserted into the melting pot. process phase, ~39% in, 1:26–1:34.",,0,,,,,,,1,,
mLCG_JXJPvg,https://www.youtube.com/watch?v=mLCG_JXJPvg,How To Make Candles Using A Double Boiler | BEGINNERS WELCOME,314.0,storyboard,17,136.87,144.92,8.05,https://youtu.be/mLCG_JXJPvg?t=137s,monitor_temperature,process,1,0.45,Checking temperature before pouring.,"Checking temperature before pouring. process phase, ~44% in, 2:16–2:24.",,0,,,,,,,1,,
qFox4kyUIJA,https://www.youtube.com/watch?v=qFox4kyUIJA,Let's make Wax Melts! | Launching a new product | Small business diaries | Golden brand 494 wax,481.0,storyboard,11,88.18,96.2,8.02,https://youtu.be/qFox4kyUIJA?t=88s,monitor_temperature,process,1,0.45,Thermometer '180-190F'; melting yellow wax.,"Thermometer '180-190F'; melting yellow wax. process phase, ~18% in, 1:28–1:36.",,0,,,,,,,1,,
