video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,23,182.56,190.5,7.94,https://youtu.be/1V3hfxo7OtE?t=183s,add_fragrance,process,1,0.45,overhead adding scent,"overhead adding scent. Adding fragrance or essential oil to the melted wax and stirring it in. static shot, well-lit, amber/brown palette (#b28862, #6c5340). process phase, ~36% in, 3:02–3:10.",,0,0.0,0.017,0.0,0.523,0.182,"#b28862,#6c5340,#b0b9c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,24,190.5,198.44,7.94,https://youtu.be/1V3hfxo7OtE?t=190s,add_fragrance,process,1,0.45,overhead bench work,"overhead bench work. Adding fragrance or essential oil to the melted wax and stirring it in. steady, low-motion shot, well-lit, amber/brown palette (#b68a63, #604f47). process phase, ~38% in, 3:10–3:18.",,0,0.0,0.013,0.085,0.524,0.186,"#b68a63,#604f47,#b0b8c6",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,25,198.44,206.38,7.94,https://youtu.be/1V3hfxo7OtE?t=198s,add_fragrance,process,1,0.45,overhead adding scent,"overhead adding scent. Adding fragrance or essential oil to the melted wax and stirring it in. captioned, steady, low-motion shot, well-lit, amber/brown palette (#ac835e, #493d3e). process phase, ~39% in, 3:18–3:26.",ak 7. Whe,1,0.0,0.027,0.06,0.516,0.191,"#ac835e,#493d3e,#b0b5c5",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,26,206.38,214.31,7.93,https://youtu.be/1V3hfxo7OtE?t=206s,add_fragrance,process,1,0.5,overhead hands with bottle,"overhead hands with bottle. static shot, well-lit, amber/brown palette (#b58861, #5b4944). process phase, ~41% in, 3:26–3:34.",,0,0.0,0.015,0.016,0.522,0.197,"#b58861,#5b4944,#b9b4bc",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,27,214.31,222.25,7.94,https://youtu.be/1V3hfxo7OtE?t=214s,add_fragrance,process,1,0.45,overhead bench work,"overhead bench work. Adding fragrance or essential oil to the melted wax and stirring it in. captioned, static shot, well-lit, amber/brown palette (#b38761, #473f43). process phase, ~42% in, 3:34–3:42.",he 4 Co.,1,0.0,0.031,0.0,0.522,0.201,"#b38761,#473f43,#bdb8ba",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,8,65.33,73.5,8.17,https://youtu.be/2nxGLwe1Znk?t=65s,add_fragrance,process,1,0.55,Pouring essential oil into the wax ('.5 oz essential oil').,"Pouring essential oil into the wax ('.5 oz essential oil'). steady, low-motion shot, bright, muted white/grey palette (#e7eae6, #a59d90). process phase, ~44% in, 1:05–1:13.",,0,0.0,0.056,0.082,0.747,0.141,"#e7eae6,#a59d90,#43321d",1,,description references on-screen text but OCR found none
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,9,73.5,81.67,8.17,https://youtu.be/2nxGLwe1Znk?t=74s,add_fragrance,process,1,0.5,Stirring fragrance into the wax.,"Stirring fragrance into the wax. steady, low-motion shot, bright, muted white/cream palette (#f3f2ee, #dfddd8). process phase, ~50% in, 1:13–1:21.",,0,0.0,0.045,0.138,0.837,0.092,"#f3f2ee,#dfddd8,#cfada1",1,,
5SulILZNPEI,https://www.youtube.com/watch?v=5SulILZNPEI,How To Make Soy Candles DIY Candle Making Tutorial,453.0,storyboard,19,151.0,158.95,7.95,https://youtu.be/5SulILZNPEI?t=151s,add_fragrance,process,1,0.45,adding/stirring into melter,"adding/stirring into melter. static shot, dim, muted grey/black palette (#615d5e, #342d31). process phase, ~33% in, 2:31–2:38.",pst ge,0,0.0,0.051,0.029,0.382,0.12,"#615d5e,#342d31,#c6af8b",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,6,46.8,54.6,7.8,https://youtu.be/6jN6A8RVyWw?t=47s,add_fragrance,process,1,0.45,Stirring continues; an additive (fragrance) is worked into the wax.,"Stirring continues; an additive (fragrance) is worked into the wax. moderate on-screen movement, well-lit, beige/brown palette (#c4b1a8, #82525b). process phase, ~40% in, 0:46–0:54.",ee,0,0.0,0.07,0.165,0.417,0.17,"#c4b1a8,#82525b,#31292f",1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,13,104.62,112.67,8.05,https://youtu.be/B2AFuHYg_Io?t=105s,add_fragrance,process,1,0.45,Fragrance bottles by the black melting pot.,"Fragrance bottles by the black melting pot. moderate on-screen movement, well-lit, muted grey/black palette (#78797e, #1e1518). process phase, ~21% in, 1:44–1:52.",,0,0.0,0.019,0.277,0.415,0.058,"#78797e,#1e1518,#aab0b7",1,,
