video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,7,57.17,65.33,8.16,https://youtu.be/2nxGLwe1Znk?t=57s,monitor_temperature,process,1,0.5,Stirring melted wax; checking temperature.,"Stirring melted wax; checking temperature. moderate on-screen movement, bright, muted white/brown palette (#f0f0ec, #4f4d48). process phase, ~39% in, 0:57–1:05.",,0,0.0,0.077,0.183,0.727,0.063,"#f0f0ec,#4f4d48,#a39c98",1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,20,160.95,169.0,8.05,https://youtu.be/B2AFuHYg_Io?t=161s,monitor_temperature,process,1,0.5,Phone thermometer; pink glove stirs the pot.,"Phone thermometer; pink glove stirs the pot. captioned, moderate on-screen movement, dim, muted black/cream palette (#0e0d12, #d3d1d2). process phase, ~32% in, 2:40–2:49.",2 2 ae fe is,1,0.0,0.027,0.339,0.337,0.081,"#0e0d12,#d3d1d2,#5e4e49",1,,
EBZGgxpf3Ho,https://www.youtube.com/watch?v=EBZGgxpf3Ho,How to make perfect scented soy wax tin candles every time. DIY tutorial 7oz coco soy wax candles,667.0,storyboard,42,337.52,345.55,8.03,https://youtu.be/EBZGgxpf3Ho?t=338s,monitor_temperature,process,1,0.5,Checking wax temperature (phone app).,"Checking wax temperature (phone app). moderate on-screen movement, well-lit, muted beige/white palette (#a4a7a8, #eeeced). process phase, ~51% in, 5:37–5:45.",7,0,0.0,0.025,0.265,0.618,0.05,"#a4a7a8,#eeeced,#323230",1,,
G42ivbBdIHY,https://www.youtube.com/watch?v=G42ivbBdIHY,Essential Oil Candles DIY For Beginners | Step By Step Candle Making Tutorial,693.0,storyboard,62,493.86,501.83,7.97,https://youtu.be/G42ivbBdIHY?t=494s,monitor_temperature,process,1,0.45,Checking the wax temperature with a thermometer.,"Checking the wax temperature with a thermometer. static shot, well-lit, muted grey/cream palette (#9e9e9e, #cacfd3). process phase, ~71% in, 8:13–8:21.",ta 7.,0,0.0,0.122,0.04,0.641,0.057,"#9e9e9e,#cacfd3,#424143",1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,8,63.53,71.47,7.94,https://youtu.be/GAh9lQmaEvI?t=64s,monitor_temperature,process,1,0.7,step 8: 'Test the temperature of the wax',"step 8: 'Test the temperature of the wax'. captioned, moderate on-screen movement, well-lit, muted brown/beige palette (#5f5b4b, #c4cac1). process phase, ~47% in, 1:03–1:11.","7 4 Test the temperature of the wax,",1,0.0,0.014,0.237,0.681,0.065,"#5f5b4b,#c4cac1,#989987",1,,
Hir66vEC2MI,https://www.youtube.com/watch?v=Hir66vEC2MI,Learn How to Make Scented Soy Wax Candles for Beginners | CandleScience Guides,323.0,storyboard,25,201.87,209.95,8.08,https://youtu.be/Hir66vEC2MI?t=202s,monitor_temperature,process,1,0.65,"thermometer in wax, 'Pour at 135F' caption","thermometer in wax, 'Pour at 135F' caption. moderate on-screen movement, well-lit, muted beige/brown palette (#b2b8b1, #4e5144). process phase, ~62% in, 3:21–3:29.",oe,0,0.0,0.029,0.259,0.501,0.08,"#b2b8b1,#4e5144,#83887f",1,,description references on-screen text but OCR found none
Lg_fGA7jd4A,https://www.youtube.com/watch?v=Lg_fGA7jd4A,How to Make Whipped Wax?✨｜Candle Tutorial♥ Candle Making with English Subtitles,199.0,storyboard,6,47.76,55.72,7.96,https://youtu.be/Lg_fGA7jd4A?t=48s,monitor_temperature,process,1,0.45,Temperature probed again in the wax.,"Temperature probed again in the wax. captioned, steady, low-motion shot, well-lit, muted cream/brown palette (#c7cbc8, #58502b). process phase, ~24% in, 0:47–0:55.",Cegree Seleies 4 208 tos bra! or Se nect ateg,1,0.0,0.071,0.133,0.554,0.145,"#c7cbc8,#58502b,#a29e8f",1,,
LiLrIjz_2ac,https://www.youtube.com/watch?v=LiLrIjz_2ac,Beginners Guide - How to Make a Scented Candle at Home,211.0,storyboard,11,89.27,97.38,8.11,https://youtu.be/LiLrIjz_2ac?t=89s,monitor_temperature,process,1,0.55,A thermometer checks the wax temperature in the pot.,"A thermometer checks the wax temperature in the pot. captioned, moderate on-screen movement, well-lit, muted black/grey palette (#383328, #94908a). process phase, ~42% in, 1:29–1:37.",kod ra ea,1,0.0,0.119,0.284,0.501,0.07,"#383328,#94908a,#d9d9d9",1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,23,182.08,190.0,7.92,https://youtu.be/N1izApjGj2c?t=182s,monitor_temperature,process,1,0.55,A thermometer is placed in the melted wax.,"A thermometer is placed in the melted wax. captioned, lots of on-screen movement, bright, muted beige/black palette (#b89c86, #2b2421). process phase, ~64% in, 3:02–3:10.",1 el Mi va!,1,0.333,0.025,0.396,0.712,0.053,"#b89c86,#2b2421,#735e46",1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,24,190.0,197.92,7.92,https://youtu.be/N1izApjGj2c?t=190s,monitor_temperature,process,1,0.6,Thermometer reads ~190°F in the pan; caption with the fragrance-load formula.,"Thermometer reads ~190°F in the pan; caption with the fragrance-load formula. captioned, lots of on-screen movement, well-lit, muted beige/grey palette (#b9a494, #856b54). process phase, ~67% in, 3:10–3:17.",th 1 ee fe: ll,1,0.333,0.047,0.369,0.681,0.059,"#b9a494,#856b54,#372c24",1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,25,197.92,205.83,7.91,https://youtu.be/N1izApjGj2c?t=198s,monitor_temperature,process,1,0.6,Thermometer reads ~185°F; hands at the pan.,"Thermometer reads ~185°F; hands at the pan. static shot, well-lit, muted beige/grey palette (#b5b0ae, #989289). process phase, ~69% in, 3:17–3:25.",rd 1,0,0.0,0.062,0.039,0.592,0.055,"#b5b0ae,#989289,#404142",1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,26,205.83,213.75,7.92,https://youtu.be/N1izApjGj2c?t=206s,monitor_temperature,process,1,0.55,Hands stir fragrance into the melted wax.,"Hands stir fragrance into the melted wax. moderate on-screen movement, well-lit, muted beige/black palette (#b79b86, #2d2522). process phase, ~72% in, 3:25–3:33.",TANT. 2,0,0.333,0.045,0.218,0.503,0.086,"#b79b86,#2d2522,#776249",1,,
N1izApjGj2c,https://www.youtube.com/watch?v=N1izApjGj2c,How to Make a Candle | DIY Candle Making,285.0,storyboard,27,213.75,221.67,7.92,https://youtu.be/N1izApjGj2c?t=214s,monitor_temperature,process,1,0.55,Metal pouring pitcher; thermometer ~170°F before pouring.,"Metal pouring pitcher; thermometer ~170°F before pouring. steady, low-motion shot, well-lit, muted beige/grey palette (#b5b1b0, #908f8d). process phase, ~75% in, 3:33–3:41.",oO PNG,0,0.333,0.017,0.121,0.593,0.054,"#b5b1b0,#908f8d,#55514c",1,,
Vsd8r7uSDII,https://www.youtube.com/watch?v=Vsd8r7uSDII,How To Make A Wooden Wick Candle | Luxury Candle Making,288.0,storyboard,21,168.0,176.0,8.0,https://youtu.be/Vsd8r7uSDII?t=168s,monitor_temperature,process,1,0.45,Checking the amber wax before pouring.,"Checking the amber wax before pouring. captioned, steady, low-motion shot, well-lit, muted cream/grey palette (#cbcac6, #8d7b6b). process phase, ~58% in, 2:48–2:56.",S/s aps aa gh wo ee,1,0.0,0.08,0.131,0.468,0.131,"#cbcac6,#8d7b6b,#28221d",1,,
ZQk9l2ttcIA,https://www.youtube.com/watch?v=ZQk9l2ttcIA,A Beginners Guide To Making A Candle,256.0,storyboard,15,120.0,128.0,8.0,https://youtu.be/ZQk9l2ttcIA?t=120s,monitor_temperature,process,1,0.4,"pot of amber liquid, checking","pot of amber liquid, checking. steady, low-motion shot, well-lit, muted beige/brown palette (#afacab, #615a58). process phase, ~47% in, 2:00–2:08.",uu,0,0.0,0.183,0.114,0.443,0.1,"#afacab,#615a58,#1e1916",1,,
a9IOU3fbWx0,https://www.youtube.com/watch?v=a9IOU3fbWx0,How to Make Simple Paraffin Candles | Candle Making Guides | CandleScience,221.0,storyboard,11,86.82,94.71,7.89,https://youtu.be/a9IOU3fbWx0?t=87s,monitor_temperature,process,1,0.5,A thermometer/stick is inserted into the melting pot.,"A thermometer/stick is inserted into the melting pot. moderate on-screen movement, dim, muted grey palette (#545760, #838792). process phase, ~39% in, 1:26–1:34.",Se,0,0.0,0.102,0.174,0.377,0.044,"#545760,#838792,#272b33",1,,
mLCG_JXJPvg,https://www.youtube.com/watch?v=mLCG_JXJPvg,How To Make Candles Using A Double Boiler | BEGINNERS WELCOME,314.0,storyboard,17,136.87,144.92,8.05,https://youtu.be/mLCG_JXJPvg?t=137s,monitor_temperature,process,1,0.45,Checking temperature before pouring.,"Checking temperature before pouring. moderate on-screen movement, well-lit, beige/cream palette (#c79c8d, #f2e0dd). process phase, ~44% in, 2:16–2:24.",wm,0,0.0,0.132,0.163,0.637,0.159,"#c79c8d,#f2e0dd,#4b3f34",1,,
qFox4kyUIJA,https://www.youtube.com/watch?v=qFox4kyUIJA,Let's make Wax Melts! | Launching a new product | Small business diaries | Golden brand 494 wax,481.0,storyboard,11,88.18,96.2,8.02,https://youtu.be/qFox4kyUIJA?t=88s,monitor_temperature,process,1,0.45,Thermometer '180-190F'; melting yellow wax.,"Thermometer '180-190F'; melting yellow wax. captioned, steady, low-motion shot, well-lit, muted brown/grey palette (#413d31, #8e756e). process phase, ~18% in, 1:28–1:36.",4 oa vb. ot 4 UN 2,1,0.0,0.084,0.083,0.45,0.132,"#413d31,#8e756e,#bab2a5",1,,
