video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,45,360.75,368.77,8.02,https://youtu.be/-pjWKo7zgrs?t=361s,set_wick,assemble,1,0.5,Setting the wick.,"Setting the wick. Centering and securing the wick after the pour so it stays upright while setting. moderate on-screen movement, well-lit, muted beige/black palette (#c4bfb6, #383626). assemble phase, ~75% in, 6:00–6:08.",os,0,0.0,0.033,0.192,0.555,0.09,"#c4bfb6,#383626,#938a7c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,3,24.06,32.08,8.02,https://youtu.be/0gk3NsmJa7k?t=24s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. captioned, moderate on-screen movement, dim, brown palette (#887645, #433c35). assemble phase, ~3% in, 0:24–0:32.",iA Pe dat 9 AF ors,1,0.0,0.061,0.207,0.341,0.188,"#887645,#433c35,#a2978d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,7,56.14,64.16,8.02,https://youtu.be/0gk3NsmJa7k?t=56s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. captioned, steady, low-motion shot, well-lit, muted grey/brown palette (#7f7466, #473d34). assemble phase, ~7% in, 0:56–1:04.",Vie. ne SET he wy Ss,1,0.0,0.149,0.052,0.44,0.114,"#7f7466,#473d34,#b6aca2",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,11,88.22,96.24,8.02,https://youtu.be/0gk3NsmJa7k?t=88s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. captioned, steady, low-motion shot, well-lit, muted brown/grey palette (#4d4842, #7c7367). assemble phase, ~11% in, 1:28–1:36.",pas PNG SIO OES,1,0.0,0.23,0.106,0.452,0.078,"#4d4842,#7c7367,#b4a698",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,15,120.3,128.32,8.02,https://youtu.be/0gk3NsmJa7k?t=120s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. static shot, well-lit, muted brown/grey palette (#4f432c, #87795f). assemble phase, ~15% in, 2:00–2:08.",SF,0,0.0,0.335,0.0,0.438,0.12,"#4f432c,#87795f,#c2b2a3",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,19,152.38,160.4,8.02,https://youtu.be/0gk3NsmJa7k?t=152s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. captioned, static shot, well-lit, beige/grey palette (#a4a7a6, #6b6d64). assemble phase, ~19% in, 2:32–2:40.",SO ae ree ag ee,1,0.0,0.218,0.0,0.449,0.15,"#a4a7a6,#6b6d64,#3e392b",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,23,184.46,192.48,8.02,https://youtu.be/0gk3NsmJa7k?t=184s,set_wick,assemble,1,0.4,Centring the wicks.,"Centring the wicks. Centering and securing the wick after the pour so it stays upright while setting. static shot, dim, muted brown palette (#6a5a48, #3f3327). assemble phase, ~23% in, 3:04–3:12.",Fe 17,0,0.0,0.174,0.0,0.377,0.103,"#6a5a48,#3f3327,#9b8977",1,,
0pqimQlf8tQ,https://www.youtube.com/watch?v=0pqimQlf8tQ,DIY Mason Jar Candles,303.0,storyboard,9,71.76,79.74,7.98,https://youtu.be/0pqimQlf8tQ?t=72s,set_wick,assemble,1,0.45,Setting wicks/sticks in the glasses.,"Setting wicks/sticks in the glasses. static shot, well-lit, brown/amber palette (#7a4c49, #ad9177). assemble phase, ~24% in, 1:11–1:19.",Loa,0,0.0,0.181,0.04,0.446,0.165,"#7a4c49,#ad9177,#c5cac5",1,,
2KbmlOnPJnU,https://www.youtube.com/watch?v=2KbmlOnPJnU,How To Make an INFINITE CANDLE Wick – Burns Forever!,151.0,storyboard,9,71.53,79.47,7.94,https://youtu.be/2KbmlOnPJnU?t=72s,set_wick,assemble,1,0.45,The float wick is set into a small metal cup/burner.,"The float wick is set into a small metal cup/burner. captioned, moderate on-screen movement, dim, muted black/brown palette (#2d241e, #56453c). assemble phase, ~47% in, 1:11–1:19.",0 zz ofl ae ig 24 ee ee er al or 3 se men do oe,1,0.0,0.02,0.187,0.328,0.123,"#2d241e,#56453c,#9d7a6c",1,,
2KbmlOnPJnU,https://www.youtube.com/watch?v=2KbmlOnPJnU,How To Make an INFINITE CANDLE Wick – Burns Forever!,151.0,storyboard,10,79.47,87.42,7.95,https://youtu.be/2KbmlOnPJnU?t=79s,set_wick,assemble,1,0.45,Hands position the float wick in the oil cup.,"Hands position the float wick in the oil cup. steady, low-motion shot, dim, muted brown palette (#482f22, #615648). assemble phase, ~53% in, 1:19–1:27.",aia 4 0,0,0.0,0.036,0.081,0.313,0.091,"#482f22,#615648,#a59b83",1,,
