video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,53,424.88,432.9,8.02,https://youtu.be/-pjWKo7zgrs?t=425s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,"Demoulding the rose / lidding the jar. finish phase, ~88% in, 7:04–7:12.",,0,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,54,432.9,440.92,8.02,https://youtu.be/-pjWKo7zgrs?t=433s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,"Demoulding the rose / lidding the jar. finish phase, ~90% in, 7:12–7:20.",,0,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,55,440.92,448.93,8.01,https://youtu.be/-pjWKo7zgrs?t=441s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,"Demoulding the rose / lidding the jar. finish phase, ~92% in, 7:20–7:28.",,0,1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,56,448.93,456.95,8.02,https://youtu.be/-pjWKo7zgrs?t=449s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,"Demoulding the rose / lidding the jar. finish phase, ~93% in, 7:28–7:36.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,41,327.13,335.11,7.98,https://youtu.be/0HfXl244xc4?t=327s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~44% in, 5:27–5:35.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,42,335.11,343.09,7.98,https://youtu.be/0HfXl244xc4?t=335s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~45% in, 5:35–5:43.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,43,343.09,351.06,7.97,https://youtu.be/0HfXl244xc4?t=343s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~46% in, 5:43–5:51.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,44,351.06,359.04,7.98,https://youtu.be/0HfXl244xc4?t=351s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~47% in, 5:51–5:59.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,45,359.04,367.02,7.98,https://youtu.be/0HfXl244xc4?t=359s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~48% in, 5:59–6:07.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,46,367.02,375.0,7.98,https://youtu.be/0HfXl244xc4?t=367s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~49% in, 6:07–6:15.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,47,375.0,382.98,7.98,https://youtu.be/0HfXl244xc4?t=375s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~50% in, 6:15–6:22.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,48,382.98,390.96,7.98,https://youtu.be/0HfXl244xc4?t=383s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~51% in, 6:22–6:30.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,49,390.96,398.94,7.98,https://youtu.be/0HfXl244xc4?t=391s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~52% in, 6:30–6:38.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,50,398.94,406.91,7.97,https://youtu.be/0HfXl244xc4?t=399s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~53% in, 6:38–6:46.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,51,406.91,414.89,7.98,https://youtu.be/0HfXl244xc4?t=407s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~54% in, 6:46–6:54.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,52,414.89,422.87,7.98,https://youtu.be/0HfXl244xc4?t=415s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~55% in, 6:54–7:02.",,0,1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,53,422.87,430.85,7.98,https://youtu.be/0HfXl244xc4?t=423s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).","Overhead: fixing candle sinkholes (poking holes, heat-gun on the top). finish phase, ~56% in, 7:02–7:10.",,0,1,,
