video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,7,57.75,66.0,8.25,https://youtu.be/-dVj7BYicmQ?t=58s,pour_wax,assemble,1,0.45,Caption 'Narrow it down to 2-4 scents and pour your soy candle'; pouring wax.,"Caption 'Narrow it down to 2-4 scents and pour your soy candle'; pouring wax. moderate on-screen movement, well-lit, muted beige/brown palette (#d6b9a2, #675d3b). assemble phase, ~58% in, 0:57–1:06.",,0,0.0,0.157,0.271,0.559,0.134,"#d6b9a2,#675d3b,#0e0905",1,,description references on-screen text but OCR found none
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,8,66.0,74.25,8.25,https://youtu.be/-dVj7BYicmQ?t=66s,pour_wax,assemble,1,0.45,Pouring melted soy wax into the vessel.,"Pouring melted soy wax into the vessel. captioned, moderate on-screen movement, well-lit, muted beige/brown palette (#c5b19e, #75604b). assemble phase, ~67% in, 1:06–1:14.","at ate, wv tee AND POUR YOUR SOY CANDLE",1,0.0,0.225,0.239,0.435,0.146,"#c5b19e,#75604b,#361d17",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,17,136.28,144.3,8.02,https://youtu.be/-pjWKo7zgrs?t=136s,pour_wax,assemble,1,0.45,Pouring green matcha-coloured wax into the jesmonite jars.,"Pouring green matcha-coloured wax into the jesmonite jars. moderate on-screen movement, well-lit, muted brown/grey palette (#4a4f3c, #7f7e6d). assemble phase, ~28% in, 2:16–2:24.",on,0,0.0,0.016,0.19,0.521,0.079,"#4a4f3c,#7f7e6d,#d2cec9",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,19,152.32,160.33,8.01,https://youtu.be/-pjWKo7zgrs?t=152s,pour_wax,assemble,1,0.45,Pouring green matcha-coloured wax into the jesmonite jars.,"Pouring green matcha-coloured wax into the jesmonite jars. captioned, moderate on-screen movement, well-lit, muted beige/brown palette (#c2c0ba, #4f443a). assemble phase, ~32% in, 2:32–2:40.",icole mold's tutorial for Boowan dpe ss Oo emove air bubbles 4 Port,1,0.0,0.028,0.211,0.493,0.093,"#c2c0ba,#4f443a,#928c80",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,20,160.33,168.35,8.02,https://youtu.be/-pjWKo7zgrs?t=160s,pour_wax,assemble,1,0.45,Pouring green matcha-coloured wax into the jesmonite jars.,"Pouring green matcha-coloured wax into the jesmonite jars. moderate on-screen movement, well-lit, muted beige/grey palette (#c6bfb2, #8b8071). assemble phase, ~33% in, 2:40–2:48.",ww ay,0,0.0,0.024,0.232,0.54,0.059,"#c6bfb2,#8b8071,#2b2722",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,22,176.37,184.38,8.01,https://youtu.be/-pjWKo7zgrs?t=176s,pour_wax,assemble,1,0.45,Pouring green matcha-coloured wax into the jesmonite jars.,"Pouring green matcha-coloured wax into the jesmonite jars. moderate on-screen movement, well-lit, muted beige/grey palette (#b9ac9b, #93816f). assemble phase, ~37% in, 2:56–3:04.",,0,0.0,0.033,0.159,0.519,0.103,"#b9ac9b,#93816f,#5c4331",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,23,184.38,192.4,8.02,https://youtu.be/-pjWKo7zgrs?t=184s,pour_wax,assemble,1,0.45,Pouring green matcha-coloured wax into the jesmonite jars.,"Pouring green matcha-coloured wax into the jesmonite jars. moderate on-screen movement, well-lit, muted beige/brown palette (#c1b4a3, #503023). assemble phase, ~38% in, 3:04–3:12.",Ze. DL,0,0.0,0.044,0.216,0.506,0.114,"#c1b4a3,#503023,#8f7564",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,43,344.72,352.73,8.01,https://youtu.be/-pjWKo7zgrs?t=345s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. captioned, moderate on-screen movement, well-lit, muted grey/beige palette (#8b7b4b, #c1bcae). assemble phase, ~72% in, 5:44–5:52.",Ny Ts 4. Fy oe 4 yy JN SF aanere ye nts ig,1,0.0,0.06,0.238,0.537,0.143,"#8b7b4b,#c1bcae,#2b2b1e",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,46,368.77,376.78,8.01,https://youtu.be/-pjWKo7zgrs?t=369s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. moderate on-screen movement, well-lit, muted grey/beige palette (#9a8a7d, #cbc0b3). assemble phase, ~77% in, 6:08–6:16.",GJ in,0,0.0,0.031,0.194,0.564,0.113,"#9a8a7d,#cbc0b3,#534b3e",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,47,376.78,384.8,8.02,https://youtu.be/-pjWKo7zgrs?t=377s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. static shot, well-lit, muted cream/brown palette (#d4d2cd, #4c4e3f). assemble phase, ~78% in, 6:16–6:24.",,0,0.0,0.008,0.0,0.623,0.049,"#d4d2cd,#4c4e3f,#8a8382",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,48,384.8,392.82,8.02,https://youtu.be/-pjWKo7zgrs?t=385s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. captioned, moderate on-screen movement, well-lit, muted beige/grey palette (#c9c7bf, #958d84). assemble phase, ~80% in, 6:24–6:32.",ae at Oe. ae YS ing the it,1,0.0,0.049,0.179,0.579,0.077,"#c9c7bf,#958d84,#545340",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,49,392.82,400.83,8.01,https://youtu.be/-pjWKo7zgrs?t=393s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. static shot, well-lit, muted grey/beige palette (#777861, #bac2a9). assemble phase, ~82% in, 6:32–6:40.",,0,0.0,0.002,0.0,0.491,0.09,"#777861,#bac2a9,#3f4029",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,50,400.83,408.85,8.02,https://youtu.be/-pjWKo7zgrs?t=401s,pour_wax,assemble,1,0.5,Pouring wax into the jar/rose mould.,"Pouring wax into the jar/rose mould. moderate on-screen movement, well-lit, muted cream/grey palette (#cccbc5, #a88f85). assemble phase, ~83% in, 6:40–6:48.",,0,0.0,0.007,0.153,0.631,0.108,"#cccbc5,#a88f85,#6f5651",1,,
