video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-dVj7BYicmQ,https://www.youtube.com/watch?v=-dVj7BYicmQ,Create your own custom-scented candle at The Candle Pour | Taste and See Tampa Bay,99.0,storyboard,9,74.25,82.5,8.25,https://youtu.be/-dVj7BYicmQ?t=74s,cure_cool,assemble,1,0.4,Caption 'Name your candle and wait up to 2 hours for it to set'.,"Caption 'Name your candle and wait up to 2 hours for it to set'. captioned, moderate on-screen movement, dim, black/brown palette (#140c08, #563e32). assemble phase, ~75% in, 1:14–1:22.",28de CANDUPSVOILLAST EOS,1,0.0,0.202,0.273,0.34,0.173,"#140c08,#563e32,#c5be96",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,1,8.02,16.04,8.02,https://youtu.be/0gk3NsmJa7k?t=8s,cure_cool,assemble,1,0.45,Rows of winter candles setting.,"Rows of winter candles setting. moderate on-screen movement, well-lit, muted grey/amber palette (#7d6c57, #b6a57a). assemble phase, ~1% in, 0:08–0:16.",,0,0.0,0.02,0.162,0.465,0.118,"#7d6c57,#b6a57a,#534432",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,9,72.18,80.2,8.02,https://youtu.be/0gk3NsmJa7k?t=72s,cure_cool,assemble,1,0.45,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted brown/grey palette (#6d5f4e, #a59685). assemble phase, ~9% in, 1:12–1:20.",eaet we aa 4,1,0.0,0.183,0.032,0.408,0.123,"#6d5f4e,#a59685,#312722",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,13,104.26,112.28,8.02,https://youtu.be/0gk3NsmJa7k?t=104s,cure_cool,assemble,1,0.45,Rows of winter candles setting.,"Rows of winter candles setting. steady, low-motion shot, well-lit, muted brown/grey palette (#473d2e, #7b6e5e). assemble phase, ~13% in, 1:44–1:52.",Fe,0,0.0,0.243,0.124,0.416,0.092,"#473d2e,#7b6e5e,#b7aa9f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,17,136.34,144.36,8.02,https://youtu.be/0gk3NsmJa7k?t=136s,cure_cool,assemble,1,0.45,Rows of winter candles setting.,"Rows of winter candles setting. captioned, steady, low-motion shot, well-lit, muted grey/brown palette (#7f7154, #4d4128). assemble phase, ~17% in, 2:16–2:24.",an ee Ae ae eS AS2S 2 Sa,1,0.0,0.309,0.118,0.426,0.116,"#7f7154,#4d4128,#bbaa9a",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,21,168.42,176.44,8.02,https://youtu.be/0gk3NsmJa7k?t=168s,cure_cool,assemble,1,0.45,Rows of winter candles setting.,"Rows of winter candles setting. captioned, moderate on-screen movement, well-lit, brown/beige palette (#504d41, #b5a69a). assemble phase, ~21% in, 2:48–2:56.",mas 6 6 Ct ee 2 7 Yd he,1,0.0,0.227,0.166,0.451,0.172,"#504d41,#b5a69a,#4d84b1",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,42,336.85,344.87,8.02,https://youtu.be/0gk3NsmJa7k?t=337s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. steady, low-motion shot, well-lit, muted beige/brown palette (#c7b8a9, #544c3e). assemble phase, ~42% in, 5:36–5:44.",7 dl,0,0.0,0.137,0.056,0.514,0.058,"#c7b8a9,#544c3e,#877b6d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,43,344.87,352.89,8.02,https://youtu.be/0gk3NsmJa7k?t=345s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. static shot, well-lit, muted beige/brown palette (#c6b7a8, #524a3a). assemble phase, ~43% in, 5:44–5:52.",7 .2,0,0.0,0.096,0.049,0.51,0.059,"#c6b7a8,#524a3a,#877b6e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,44,352.89,360.91,8.02,https://youtu.be/0gk3NsmJa7k?t=353s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#c9baac, #82766a). assemble phase, ~44% in, 5:52–6:00.",7 ne YI Se Ae,1,0.0,0.061,0.032,0.53,0.052,"#c9baac,#82766a,#4f4739",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,45,360.91,368.93,8.02,https://youtu.be/0gk3NsmJa7k?t=361s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/brown palette (#cabaad, #50473a). assemble phase, ~45% in, 6:00–6:08.",et ae re,1,0.0,0.106,0.0,0.527,0.055,"#cabaad,#50473a,#877a6d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,46,368.93,376.95,8.02,https://youtu.be/0gk3NsmJa7k?t=369s,cure_cool,assemble,1,0.5,Decorating the candle tops with pine sprigs / botanicals.,"Decorating the candle tops with pine sprigs / botanicals. static shot, well-lit, muted brown/beige palette (#564c3f, #ccbdaf). assemble phase, ~46% in, 6:08–6:16.",,0,0.0,0.069,0.015,0.524,0.055,"#564c3f,#ccbdaf,#948578",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,47,376.95,384.97,8.02,https://youtu.be/0gk3NsmJa7k?t=377s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, moderate on-screen movement, well-lit, muted grey/brown palette (#827265, #53493e). assemble phase, ~47% in, 6:16–6:24.",Mere Pee,1,0.0,0.111,0.194,0.48,0.059,"#827265,#53493e,#bbab9e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,48,384.97,392.99,8.02,https://youtu.be/0gk3NsmJa7k?t=385s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, steady, low-motion shot, well-lit, muted brown/grey palette (#564a3b, #8a7c6e). assemble phase, ~48% in, 6:24–6:32.",2 Sale eS ii ae fe,1,0.0,0.201,0.072,0.446,0.069,"#564a3b,#8a7c6e,#c3b3a4",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,49,392.99,401.01,8.02,https://youtu.be/0gk3NsmJa7k?t=393s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. static shot, well-lit, muted brown/grey palette (#5d4f41, #8d7869). assemble phase, ~49% in, 6:32–6:41.",eit,0,0.0,0.103,0.0,0.438,0.096,"#5d4f41,#8d7869,#bbaca1",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,52,417.05,425.07,8.02,https://youtu.be/0gk3NsmJa7k?t=417s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. static shot, well-lit, muted brown/grey palette (#524736, #857868). assemble phase, ~53% in, 6:57–7:05.",Por eT,0,0.0,0.161,0.046,0.422,0.076,"#524736,#857868,#c6b6a8",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,53,425.07,433.09,8.02,https://youtu.be/0gk3NsmJa7k?t=425s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted brown/grey palette (#524839, #837568). assemble phase, ~54% in, 7:05–7:13.",ENS Spat Seas,1,0.0,0.151,0.0,0.435,0.073,"#524839,#837568,#c4b6a9",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,54,433.09,441.11,8.02,https://youtu.be/0gk3NsmJa7k?t=433s,cure_cool,assemble,1,0.5,Decorating the candle tops with pine sprigs / botanicals.,"Decorating the candle tops with pine sprigs / botanicals. captioned, steady, low-motion shot, well-lit, muted brown palette (#746542, #4c4021). assemble phase, ~55% in, 7:13–7:21.",ga Le sf are ie ia,1,0.0,0.322,0.06,0.418,0.149,"#746542,#4c4021,#b3a28b",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,55,441.11,449.13,8.02,https://youtu.be/0gk3NsmJa7k?t=441s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, brown palette (#7d6d49, #54482a). assemble phase, ~56% in, 7:21–7:29.",ee ee sS Sl tr. ae at he mae wg,1,0.0,0.232,0.034,0.424,0.15,"#7d6d49,#54482a,#b6a68e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,56,449.13,457.15,8.02,https://youtu.be/0gk3NsmJa7k?t=449s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, grey/brown palette (#7e6f4c, #53482b). assemble phase, ~57% in, 7:29–7:37.",Ne 4 SAT Ta. ae wy aa ae 3 7,1,0.0,0.267,0.043,0.422,0.151,"#7e6f4c,#53482b,#b7a78d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,57,457.15,465.17,8.02,https://youtu.be/0gk3NsmJa7k?t=457s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, steady, low-motion shot, well-lit, muted brown palette (#7b6d48, #4e4428). assemble phase, ~58% in, 7:37–7:45.",7 Se SLL sf 7 ae ls at 7 jae ee cone ee,1,0.0,0.185,0.051,0.417,0.147,"#7b6d48,#4e4428,#ac9e80",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,59,473.19,481.21,8.02,https://youtu.be/0gk3NsmJa7k?t=473s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, steady, low-motion shot, well-lit, muted brown palette (#7f7049, #51452a). assemble phase, ~60% in, 7:53–8:01.",aa hig oe ne or pe fi 7 all 7 on 1 Po Pe APS 7 Vebios yo 7 7,1,0.0,0.232,0.062,0.415,0.148,"#7f7049,#51452a,#b7a78d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,60,481.21,489.23,8.02,https://youtu.be/0gk3NsmJa7k?t=481s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#beaca2, #7b6c5d). assemble phase, ~61% in, 8:01–8:09.",ar pt Tin,1,0.0,0.132,0.035,0.488,0.08,"#beaca2,#7b6c5d,#42352a",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,61,489.23,497.25,8.02,https://youtu.be/0gk3NsmJa7k?t=489s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#beada3, #7c6e5f). assemble phase, ~62% in, 8:09–8:17.",Fa Pt Ie ee ae ae fae on en,1,0.0,0.138,0.044,0.485,0.081,"#beada3,#7c6e5f,#41342a",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,63,505.27,513.29,8.02,https://youtu.be/0gk3NsmJa7k?t=505s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, steady, low-motion shot, well-lit, muted beige/brown palette (#c4b3aa, #44372d). assemble phase, ~64% in, 8:25–8:33.",4 se as 23 at 4,1,0.0,0.141,0.053,0.495,0.079,"#c4b3aa,#44372d,#887869",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,64,513.29,521.31,8.02,https://youtu.be/0gk3NsmJa7k?t=513s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#c4b4ab, #88786a). assemble phase, ~65% in, 8:33–8:41.","ast eas, +See wih Pf ae. alge ft ve 3 te",1,0.0,0.155,0.048,0.496,0.078,"#c4b4ab,#88786a,#44382e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,65,521.31,529.33,8.02,https://youtu.be/0gk3NsmJa7k?t=521s,cure_cool,assemble,1,0.5,Decorating the candle tops with pine sprigs / botanicals.,"Decorating the candle tops with pine sprigs / botanicals. captioned, static shot, well-lit, muted beige/grey palette (#c6b6ad, #877769). assemble phase, ~66% in, 8:41–8:49.","rs yt oe FS 7 eR%, ot aie SAM vs Sane ee 4 Ss Sud ous Jet. 4",1,0.0,0.154,0.027,0.51,0.074,"#c6b6ad,#877769,#463a2f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,67,537.35,545.37,8.02,https://youtu.be/0gk3NsmJa7k?t=537s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#c5b5ab, #847466). assemble phase, ~68% in, 8:57–9:05.",FE re soe OS at ae aa ae,1,0.0,0.125,0.024,0.508,0.075,"#c5b5ab,#847466,#42372c",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,68,545.37,553.39,8.02,https://youtu.be/0gk3NsmJa7k?t=545s,cure_cool,assemble,1,0.5,Decorating the candle tops with pine sprigs / botanicals.,"Decorating the candle tops with pine sprigs / botanicals. captioned, steady, low-motion shot, well-lit, muted beige/grey palette (#c7b7ae, #88786a). assemble phase, ~69% in, 9:05–9:13.",Se ES oft rs avin Band AS in 9,1,0.0,0.163,0.062,0.493,0.075,"#c7b7ae,#88786a,#45392d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,69,553.39,561.41,8.02,https://youtu.be/0gk3NsmJa7k?t=553s,cure_cool,assemble,1,0.5,Rows of winter candles setting.,"Rows of winter candles setting. captioned, static shot, well-lit, muted beige/grey palette (#c5b4ab, #827365). assemble phase, ~70% in, 9:13–9:21.",ee Br oft oa Ad ee ee se 2 4 oo me ae,1,0.0,0.11,0.034,0.507,0.075,"#c5b4ab,#827365,#43372d",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,35,279.01,286.98,7.97,https://youtu.be/0tS8V3Gj9C0?t=279s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, moderate on-screen movement, well-lit, muted grey/black palette (#7e7c78, #363532). assemble phase, ~33% in, 4:39–4:46.",Sa re dee ee wie aS SoS SE SSS 4 Few 4 Ca OCS Cw Cc,1,0.0,0.192,0.245,0.523,0.052,"#7e7c78,#363532,#d2d5d3",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,36,286.98,294.95,7.97,https://youtu.be/0tS8V3Gj9C0?t=287s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, moderate on-screen movement, well-lit, muted brown/grey palette (#50443f, #928c88). assemble phase, ~34% in, 4:46–4:54.",vy aE gee Pa Css Soi ry Ya CY OooaR,1,0.0,0.209,0.214,0.491,0.06,"#50443f,#928c88,#e0e3e1",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,41,326.84,334.81,7.97,https://youtu.be/0tS8V3Gj9C0?t=327s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, steady, low-motion shot, well-lit, muted grey/cream palette (#89847c, #d3d6d2). assemble phase, ~39% in, 5:26–5:34.",ie he PRE Fe ee pal ae 2 ne as Ber. Sima,1,0.0,0.052,0.052,0.594,0.061,"#89847c,#d3d6d2,#423a36",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,74,589.91,597.88,7.97,https://youtu.be/0tS8V3Gj9C0?t=590s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#797a76, #b5baba). assemble phase, ~70% in, 9:49–9:57.",5 AM 23 he GE Sg md of Wwer sSie-2 abil ahi Cm TF Ae Ke satire Vt Bs ce Des Rie,1,0.0,0.223,0.091,0.473,0.053,"#797a76,#b5baba,#30312e",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,75,597.88,605.85,7.97,https://youtu.be/0tS8V3Gj9C0?t=598s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#686460, #ada7a6). assemble phase, ~71% in, 9:57–10:05.",fs 7 yar She ood. ay ee rut. 3,1,0.0,0.153,0.132,0.403,0.054,"#686460,#ada7a6,#1f2224",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,87,693.54,701.51,7.97,https://youtu.be/0tS8V3Gj9C0?t=694s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, moderate on-screen movement, well-lit, muted grey/brown palette (#787a77, #444641). assemble phase, ~82% in, 11:33–11:41.",Ss ar. yey se ae ad 4 if,1,0.0,0.205,0.202,0.472,0.063,"#787a77,#444641,#a8aeb4",1,,
0tS8V3Gj9C0,https://www.youtube.com/watch?v=0tS8V3Gj9C0,"make 1000 candles with me | balancing work & life, browsing markets, small business vlog",845.0,storyboard,90,717.45,725.42,7.97,https://youtu.be/0tS8V3Gj9C0?t=717s,cure_cool,assemble,1,0.5,Overhead rows of candle jars setting on the shelves.,"Overhead rows of candle jars setting on the shelves. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#82776e, #a9a9a8). assemble phase, ~85% in, 11:57–12:05.",Fan aaa eo ere oe eee Cc ss ydens,1,0.0,0.089,0.059,0.483,0.079,"#82776e,#a9a9a8,#312d2d",1,,
1NluHw-tnt0,https://www.youtube.com/watch?v=1NluHw-tnt0,Making Witchy Wax Candles - A satisfying & mystical Process of Sculpting with Wax - PATH LAB,538.0,storyboard,6,48.18,56.21,8.03,https://youtu.be/1NluHw-tnt0?t=48s,cure_cool,assemble,1,0.4,Dipped tapers hung to cool between coats.,"Dipped tapers hung to cool between coats. captioned, lots of on-screen movement, well-lit, muted cream/beige palette (#dcddd9, #bfbd9a). assemble phase, ~9% in, 0:48–0:56.",0 oF 4 ae,1,0.0,0.047,0.454,0.597,0.092,"#dcddd9,#bfbd9a,#58563d",1,,
1NluHw-tnt0,https://www.youtube.com/watch?v=1NluHw-tnt0,Making Witchy Wax Candles - A satisfying & mystical Process of Sculpting with Wax - PATH LAB,538.0,storyboard,9,72.27,80.3,8.03,https://youtu.be/1NluHw-tnt0?t=72s,cure_cool,assemble,1,0.4,Dipped tapers hung to cool between coats.,"Dipped tapers hung to cool between coats. captioned, static shot, well-lit, muted cream/grey palette (#cfd2c4, #8a8773). assemble phase, ~13% in, 1:12–1:20.",me if om,1,0.0,0.037,0.0,0.547,0.081,"#cfd2c4,#8a8773,#323229",1,,
1NluHw-tnt0,https://www.youtube.com/watch?v=1NluHw-tnt0,Making Witchy Wax Candles - A satisfying & mystical Process of Sculpting with Wax - PATH LAB,538.0,storyboard,12,96.36,104.39,8.03,https://youtu.be/1NluHw-tnt0?t=96s,cure_cool,assemble,1,0.4,Dipped tapers hung to cool between coats.,"Dipped tapers hung to cool between coats. captioned, steady, low-motion shot, dim, muted grey/black palette (#6d6b5b, #2d2e25). assemble phase, ~18% in, 1:36–1:44.",Ss one ss VL Oe on RY 4 og,1,0.0,0.081,0.148,0.392,0.075,"#6d6b5b,#2d2e25,#a2a091",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,48,381.0,388.94,7.94,https://youtu.be/1V3hfxo7OtE?t=381s,cure_cool,assemble,1,0.5,overhead jars on cooling rack,"overhead jars on cooling rack. captioned, static shot, well-lit, muted grey palette (#7e786d, #958e82). assemble phase, ~75% in, 6:21–6:28.",eroe tres Te PE HH ea es oe ee Seas? 3 SSaitt fa 1 maas? fae Se FP Les Sn ki meses. toe crete. rhe pater TEs bectas ESL He Se pee! THEY Bhat: degafit Hae Laie meaet 6 Ys ofthat ie ii jae OL ele,1,0.0,0.035,0.025,0.554,0.044,"#7e786d,#958e82,#b4a999",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,50,396.88,404.81,7.93,https://youtu.be/1V3hfxo7OtE?t=397s,cure_cool,assemble,1,0.45,"overhead jars cooling, hands","overhead jars cooling, hands. captioned, steady, low-motion shot, well-lit, muted grey/beige palette (#868480, #a6a39e). assemble phase, ~78% in, 6:36–6:44.",ClSEL SADOSRESRERRERUNEESRORGEND ON wa an te 0 Seed oD tbh: 3 carces ie ff That hi 1 me eit Bi rieeeel te. Fe iy suf thie dase 18 ye 44 open. Be eesti tee ruarrisch 15 Wants ifs se Seger aime ate Bits,1,0.0,0.029,0.063,0.558,0.047,"#868480,#a6a39e,#524e45",1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,10,81.67,89.83,8.16,https://youtu.be/2nxGLwe1Znk?t=82s,cure_cool,assemble,1,0.4,Caption 'Cool wax fully'; pitcher of wax.,"Caption 'Cool wax fully'; pitcher of wax. steady, low-motion shot, bright, muted white/black palette (#eeefe8, #2d280d). assemble phase, ~56% in, 1:21–1:29.",,0,0.0,0.022,0.109,0.825,0.101,"#eeefe8,#2d280d,#bebaad",1,,description references on-screen text but OCR found none
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,46,367.37,375.36,7.99,https://youtu.be/40mkiCY8uMM?t=367s,cure_cool,assemble,1,0.5,Rows of mini candles setting.,"Rows of mini candles setting. static shot, well-lit, muted grey/brown palette (#8a8987, #696056). assemble phase, ~63% in, 6:07–6:15.",ma: os,0,0.0,0.183,0.0,0.442,0.055,"#8a8987,#696056,#202121",1,,
40mkiCY8uMM,https://www.youtube.com/watch?v=40mkiCY8uMM,How To Make Mini 1 Oz. Soy Candles | Fall Scented Sample Candles,583.0,storyboard,47,375.36,383.34,7.98,https://youtu.be/40mkiCY8uMM?t=375s,cure_cool,assemble,1,0.5,Rows of mini candles setting.,"Rows of mini candles setting. captioned, steady, low-motion shot, well-lit, muted grey/brown palette (#8a8783, #6b5f56). assemble phase, ~64% in, 6:15–6:23.",eae es Soo,1,0.0,0.171,0.059,0.443,0.065,"#8a8783,#6b5f56,#1f1f1e",1,,
