video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,23,182.56,190.5,7.94,https://youtu.be/1V3hfxo7OtE?t=183s,add_fragrance,process,1,0.45,overhead adding scent,"overhead adding scent. Adding fragrance or essential oil to the melted wax and stirring it in. process phase, ~36% in, 3:02–3:10.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,24,190.5,198.44,7.94,https://youtu.be/1V3hfxo7OtE?t=190s,add_fragrance,process,1,0.45,overhead bench work,"overhead bench work. Adding fragrance or essential oil to the melted wax and stirring it in. process phase, ~38% in, 3:10–3:18.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,25,198.44,206.38,7.94,https://youtu.be/1V3hfxo7OtE?t=198s,add_fragrance,process,1,0.45,overhead adding scent,"overhead adding scent. Adding fragrance or essential oil to the melted wax and stirring it in. process phase, ~39% in, 3:18–3:26.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,26,206.38,214.31,7.93,https://youtu.be/1V3hfxo7OtE?t=206s,add_fragrance,process,1,0.5,overhead hands with bottle,"overhead hands with bottle. process phase, ~41% in, 3:26–3:34.",,0,,,,,,,1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,27,214.31,222.25,7.94,https://youtu.be/1V3hfxo7OtE?t=214s,add_fragrance,process,1,0.45,overhead bench work,"overhead bench work. Adding fragrance or essential oil to the melted wax and stirring it in. process phase, ~42% in, 3:34–3:42.",,0,,,,,,,1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,8,65.33,73.5,8.17,https://youtu.be/2nxGLwe1Znk?t=65s,add_fragrance,process,1,0.55,Pouring essential oil into the wax ('.5 oz essential oil').,"Pouring essential oil into the wax ('.5 oz essential oil'). process phase, ~44% in, 1:05–1:13.",,0,,,,,,,1,,
2nxGLwe1Znk,https://www.youtube.com/watch?v=2nxGLwe1Znk,DIY Mason Jar Candles | How to Make Mason Jar Candles,147.0,storyboard,9,73.5,81.67,8.17,https://youtu.be/2nxGLwe1Znk?t=74s,add_fragrance,process,1,0.5,Stirring fragrance into the wax.,"Stirring fragrance into the wax. process phase, ~50% in, 1:13–1:21.",,0,,,,,,,1,,
5SulILZNPEI,https://www.youtube.com/watch?v=5SulILZNPEI,How To Make Soy Candles DIY Candle Making Tutorial,453.0,storyboard,19,151.0,158.95,7.95,https://youtu.be/5SulILZNPEI?t=151s,add_fragrance,process,1,0.45,adding/stirring into melter,"adding/stirring into melter. process phase, ~33% in, 2:31–2:38.",,0,,,,,,,1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,6,46.8,54.6,7.8,https://youtu.be/6jN6A8RVyWw?t=47s,add_fragrance,process,1,0.45,Stirring continues; an additive (fragrance) is worked into the wax.,"Stirring continues; an additive (fragrance) is worked into the wax. process phase, ~40% in, 0:46–0:54.",,0,,,,,,,1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,13,104.62,112.67,8.05,https://youtu.be/B2AFuHYg_Io?t=105s,add_fragrance,process,1,0.45,Fragrance bottles by the black melting pot.,"Fragrance bottles by the black melting pot. process phase, ~21% in, 1:44–1:52.",,0,,,,,,,1,,
B2AFuHYg_Io,https://www.youtube.com/watch?v=B2AFuHYg_Io,Coconut Soy wax candle making for beginners,507.0,storyboard,21,169.0,177.05,8.05,https://youtu.be/B2AFuHYg_Io?t=169s,add_fragrance,process,1,0.5,Stirring fragrance into the wax; phone.,"Stirring fragrance into the wax; phone. process phase, ~33% in, 2:49–2:57.",,0,,,,,,,1,,
G42ivbBdIHY,https://www.youtube.com/watch?v=G42ivbBdIHY,Essential Oil Candles DIY For Beginners | Step By Step Candle Making Tutorial,693.0,storyboard,60,477.93,485.9,7.97,https://youtu.be/G42ivbBdIHY?t=478s,add_fragrance,process,1,0.45,Adding essential oils to the melted wax.,"Adding essential oils to the melted wax. process phase, ~69% in, 7:57–8:05.",,0,,,,,,,1,,
GAh9lQmaEvI,https://www.youtube.com/watch?v=GAh9lQmaEvI,How to make scented candles at home step by step,135.0,storyboard,9,71.47,79.41,7.94,https://youtu.be/GAh9lQmaEvI?t=71s,add_fragrance,process,1,0.4,hands working in bowl,"hands working in bowl. Adding fragrance or essential oil to the melted wax and stirring it in. process phase, ~53% in, 1:11–1:19.",,0,,,,,,,1,,
