video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,description_detailed,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
1uWvLp_jofs,https://www.youtube.com/watch?v=1uWvLp_jofs,How to Color Your Candles And Wax Melts (Best Advice For Newbies) - Candle Making For Beginners,150.0,storyboard,4,31.58,39.47,7.89,https://youtu.be/1uWvLp_jofs?t=32s,add_dye_color,process,1,0.4,Host demonstrates candle dye blocks/colour samples; a red candle.,"Host demonstrates candle dye blocks/colour samples; a red candle. lots of on-screen movement, well-lit, muted brown/beige palette (#3d3532, #cec3bd). process phase, ~21% in, 0:31–0:39.",yy SS,0,0.0,0.04,0.358,0.452,0.11,"#3d3532,#cec3bd,#a2565f",1,,
6N1oH8pkD5Q,https://www.youtube.com/watch?v=6N1oH8pkD5Q,Make YOUR OWN Layered Gradient Soy Wax Candle!,243.0,storyboard,8,64.8,72.9,8.1,https://youtu.be/6N1oH8pkD5Q?t=65s,add_dye_color,process,1,0.5,Host adds red dye from a bottle to tint the wax.,"Host adds red dye from a bottle to tint the wax. captioned, moderate on-screen movement, well-lit, muted cream/grey palette (#dcd9d7, #7a6c65). process phase, ~27% in, 1:04–1:12.","mai oh AROMATICS FRAGB ass ur INTERNAT ww lif Wink Li, ba 9 8 mee eps Ese ee ae:",1,0.333,0.103,0.169,0.491,0.098,"#dcd9d7,#7a6c65,#190e0d",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,7,54.6,62.4,7.8,https://youtu.be/6jN6A8RVyWw?t=55s,add_dye_color,process,1,0.55,"Pink colourant is mixed into the wax, tinting it pink.","Pink colourant is mixed into the wax, tinting it pink. captioned, moderate on-screen movement, well-lit, grey/brown palette (#9f8c76, #7d4847). process phase, ~47% in, 0:54–1:02.",4 5 7 SS,1,0.0,0.029,0.153,0.49,0.161,"#9f8c76,#7d4847,#c0b5b4",1,,
6jN6A8RVyWw,https://www.youtube.com/watch?v=6jN6A8RVyWw,DIY - Candle making kit tutorial,117.0,storyboard,8,62.4,70.2,7.8,https://youtu.be/6jN6A8RVyWw?t=62s,add_dye_color,process,1,0.55,Pink molten wax stirred in the pot.,"Pink molten wax stirred in the pot. static shot, well-lit, grey/beige palette (#998873, #b6aa9a). process phase, ~53% in, 1:02–1:10.",,0,0.0,0.0,0.035,0.54,0.158,"#998873,#b6aa9a,#7f3a43",1,,
7j6uypARXW4,https://www.youtube.com/watch?v=7j6uypARXW4,DIY Water candles | Making candles with WATER!?,414.0,storyboard,8,63.69,71.65,7.96,https://youtu.be/7j6uypARXW4?t=64s,add_dye_color,process,1,0.45,Blue colour added to the water layer.,"Blue colour added to the water layer. moderate on-screen movement, well-lit, muted brown/grey palette (#414947, #7a8182). process phase, ~15% in, 1:03–1:11.",,0,0.0,0.009,0.189,0.43,0.071,"#414947,#7a8182,#bdc7c7",1,,
8V_WyGLS5Zo,https://www.youtube.com/watch?v=8V_WyGLS5Zo,Candle Making Tutorial for Beginners | DIY Candle Tutorial,375.0,storyboard,13,103.72,111.7,7.98,https://youtu.be/8V_WyGLS5Zo?t=104s,add_dye_color,process,1,0.55,Red wax mixed in the pitcher.,"Red wax mixed in the pitcher. captioned, steady, low-motion shot, dim, black/grey palette (#272319, #596e67). process phase, ~28% in, 1:43–1:51.",re Fs pm 2 af oe 6 83 am,1,0.0,0.114,0.062,0.297,0.168,"#272319,#596e67,#c9ba8f",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,49,392.6,400.62,8.02,https://youtu.be/999EQfNvuds?t=393s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,"Green matcha wax added on top of the milk layer. static shot, bright, muted white/beige palette (#f1f0ec, #c7c3bc). process phase, ~60% in, 6:32–6:40.",,0,0.0,0.014,0.0,0.82,0.041,"#f1f0ec,#c7c3bc,#7d7d7c",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,52,416.64,424.65,8.01,https://youtu.be/999EQfNvuds?t=417s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,"Green matcha wax added on top of the milk layer. static shot, bright, muted white/beige palette (#f3f2ea, #cac5b6). process phase, ~64% in, 6:56–7:04.",,0,0.0,0.001,0.0,0.814,0.06,"#f3f2ea,#cac5b6,#81827b",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,55,440.68,448.69,8.01,https://youtu.be/999EQfNvuds?t=441s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,"Green matcha wax added on top of the milk layer. static shot, bright, muted white/beige palette (#f1f0e8, #cac1ac). process phase, ~68% in, 7:20–7:28.",,0,0.0,0.006,0.0,0.803,0.144,"#f1f0e8,#cac1ac,#897f70",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,58,464.72,472.73,8.01,https://youtu.be/999EQfNvuds?t=465s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,"Green matcha wax added on top of the milk layer. static shot, bright, cream/beige palette (#ede9de, #baac90). process phase, ~72% in, 7:44–7:52.",,0,0.0,0.001,0.0,0.795,0.159,"#ede9de,#baac90,#655a53",1,,
999EQfNvuds,https://www.youtube.com/watch?v=999EQfNvuds,DIY Matcha Candle | Viral Iced Drinks Candle | Realistic Candle | Candle Making Tutorial,649.0,storyboard,61,488.75,496.77,8.02,https://youtu.be/999EQfNvuds?t=489s,add_dye_color,process,1,0.45,Green matcha wax added on top of the milk layer.,"Green matcha wax added on top of the milk layer. static shot, bright, muted white/beige palette (#f1f0e8, #c8c3b5). process phase, ~75% in, 8:08–8:16.",,0,0.0,0.007,0.0,0.814,0.056,"#f1f0e8,#c8c3b5,#7e7e79",1,,
